Date,y_actual,prob_up,pred_direction,signal,signal_correct
2024-03-01,1,0.5119817011043072,Up,Hold,
2024-03-04,1,0.4917753644624166,Down,Hold,
2024-03-05,1,0.49325619285173855,Down,Hold,
2024-03-06,1,0.5074626639904624,Down,Hold,
2024-03-07,1,0.48534372595260056,Down,Hold,
2024-03-08,1,0.4798745672516442,Down,Sell,0.0
2024-03-11,0,0.5001185137189811,Down,Hold,
2024-03-12,1,0.5168554596070494,Up,Hold,
2024-03-13,0,0.4906358131404516,Down,Hold,
2024-03-14,0,0.49117743052896595,Down,Hold,
2024-03-15,1,0.5454462119071981,Up,Buy,1.0
2024-03-18,0,0.49354741837386773,Down,Hold,
2024-03-19,1,0.5133149134404973,Up,Hold,
2024-03-20,1,0.5060243850859992,Down,Hold,
2024-03-21,0,0.4904984999223087,Down,Hold,
2024-03-22,1,0.5385791221164552,Up,Buy,1.0
2024-03-25,1,0.5175935273297375,Up,Hold,
2024-03-26,1,0.4737698137558158,Down,Sell,0.0
2024-03-27,1,0.48886801411547953,Down,Hold,
2024-03-28,1,0.4904049207955759,Down,Hold,
2024-04-01,1,0.47644530193012663,Down,Sell,0.0
2024-04-02,1,0.4975238411250804,Down,Hold,
2024-04-03,0,0.5018597819550682,Down,Hold,
2024-04-04,1,0.4996724758443411,Down,Hold,
2024-04-05,1,0.4778647550497675,Down,Sell,0.0
2024-04-08,1,0.47872226222713454,Down,Sell,0.0
2024-04-09,0,0.46975516390449834,Down,Sell,1.0
2024-04-10,1,0.5144915517269489,Up,Hold,
2024-04-11,1,0.5003031058604323,Down,Hold,
2024-04-12,1,0.46799337100604976,Down,Sell,0.0
2024-04-15,1,0.48615136172506973,Down,Hold,
2024-04-16,0,0.495230674560089,Down,Hold,
2024-04-17,1,0.5026239735556219,Down,Hold,
2024-04-18,1,0.48855763202469443,Down,Hold,
2024-04-19,0,0.45739667600492867,Down,Sell,1.0
2024-04-22,0,0.5190971922522843,Up,Hold,
2024-04-23,0,0.5131398691142602,Up,Hold,
2024-04-24,1,0.49280224007023715,Down,Hold,
2024-04-25,1,0.4980199386930102,Down,Hold,
2024-04-26,1,0.5192612080087918,Up,Hold,
2024-04-29,0,0.5062393883688547,Down,Hold,
2024-04-30,1,0.5030833126666097,Down,Hold,
2024-05-01,0,0.5255806174386928,Up,Buy,0.0
2024-05-02,0,0.5354029635162981,Up,Buy,0.0
2024-05-03,1,0.5075742316889086,Down,Hold,
2024-05-06,0,0.4946967461875038,Down,Hold,
2024-05-07,0,0.5399994477304503,Up,Buy,0.0
2024-05-08,1,0.5217030084752372,Up,Buy,1.0
2024-05-09,1,0.4924410722688793,Down,Hold,
2024-05-10,0,0.4913590555840526,Down,Hold,
2024-05-13,1,0.5083034589875329,Down,Hold,
2024-05-14,1,0.5015064568472334,Down,Hold,
2024-05-15,0,0.48925714668504244,Down,Hold,
2024-05-16,1,0.5000547740254245,Down,Hold,
2024-05-17,1,0.5106761954732048,Up,Hold,
2024-05-20,0,0.48506097546071275,Down,Hold,
2024-05-21,0,0.4973030273418681,Down,Hold,
2024-05-22,0,0.5277457379975946,Up,Buy,0.0
2024-05-23,0,0.49242159519838613,Down,Hold,
2024-05-24,1,0.496894948874246,Down,Hold,
2024-05-28,0,0.48329651102559823,Down,Hold,
2024-05-29,1,0.49284442617132157,Down,Hold,
2024-05-30,0,0.5264215102220638,Up,Buy,0.0
2024-05-31,1,0.49329735202103536,Down,Hold,
2024-06-03,0,0.5098590113295133,Down,Hold,
2024-06-04,1,0.47501127615531175,Down,Sell,0.0
2024-06-05,1,0.514969368552518,Up,Hold,
2024-06-06,0,0.47491970994225885,Down,Sell,1.0
2024-06-07,1,0.5159850264349769,Up,Hold,
2024-06-10,0,0.5165308101050755,Up,Hold,
2024-06-11,1,0.5019134666167867,Down,Hold,
2024-06-12,0,0.5055634888145015,Down,Hold,
2024-06-13,1,0.5435458518623966,Up,Buy,1.0
2024-06-14,0,0.5176487655736416,Up,Hold,
2024-06-17,1,0.5342760700826754,Up,Buy,1.0
2024-06-18,1,0.5222666685367614,Up,Buy,1.0
2024-06-20,0,0.47474962646765145,Down,Sell,1.0
2024-06-21,1,0.5258746524935923,Up,Buy,1.0
2024-06-24,0,0.5230908172117642,Up,Buy,0.0
2024-06-25,0,0.49577586790434935,Down,Hold,
2024-06-26,1,0.5017329671113057,Down,Hold,
2024-06-27,1,0.4748439206022021,Down,Sell,0.0
2024-06-28,0,0.4848817826057578,Down,Hold,
2024-07-01,0,0.5049698974750215,Down,Hold,
2024-07-02,1,0.5232446917560766,Up,Buy,1.0
2024-07-03,1,0.48902648627679834,Down,Hold,
2024-07-05,0,0.4817768977693295,Down,Hold,
2024-07-08,1,0.5059356776959995,Down,Hold,
2024-07-09,1,0.5038925620448694,Down,Hold,
2024-07-10,1,0.4679335936874724,Down,Sell,0.0
2024-07-11,0,0.5258910585242433,Up,Buy,0.0
2024-07-12,1,0.5092030680949653,Down,Hold,
2024-07-15,1,0.485399447515307,Down,Hold,
2024-07-16,0,0.4975253744571068,Down,Hold,
2024-07-17,0,0.5208022174484587,Up,Buy,0.0
2024-07-18,0,0.50092056039706,Down,Hold,
2024-07-19,0,0.5113272133357336,Up,Hold,
2024-07-22,1,0.51408280434387,Up,Hold,
2024-07-23,1,0.4962497366142367,Down,Hold,
2024-07-24,0,0.4895162515385321,Down,Hold,
2024-07-25,1,0.5361863790206577,Up,Buy,1.0
2024-07-26,0,0.5120096259373504,Up,Hold,
2024-07-29,1,0.5026154015728636,Down,Hold,
2024-07-30,1,0.5009464529327372,Down,Hold,
2024-07-31,1,0.5059137396974993,Down,Hold,
2024-08-01,0,0.4995980540144065,Down,Hold,
2024-08-02,0,0.49121759224593337,Down,Hold,
2024-08-05,0,0.5099512134904448,Down,Hold,
2024-08-06,1,0.48815841068566773,Down,Hold,
2024-08-07,1,0.49345806419125965,Down,Hold,
2024-08-08,1,0.47419794039202906,Down,Sell,0.0
2024-08-09,1,0.49445550445659797,Down,Hold,
2024-08-12,1,0.49255934149206687,Down,Hold,
2024-08-13,0,0.4878855863336568,Down,Hold,
2024-08-14,1,0.5313029985160105,Up,Buy,1.0
2024-08-15,1,0.5035393256326804,Down,Hold,
2024-08-16,1,0.49737862601094784,Down,Hold,
2024-08-19,1,0.5099517010833866,Down,Hold,
2024-08-20,0,0.49521990245020087,Down,Hold,
2024-08-21,0,0.5057174080763424,Down,Hold,
2024-08-22,1,0.5212884421181238,Up,Buy,1.0
2024-08-23,1,0.5119597591309052,Up,Hold,
2024-08-26,0,0.48068016303318845,Down,Hold,
